,NH0001.NHF,NH0002.NHF,NH0003.NHF,NH0004.NHF,NH0006.NHF,NH0007.NHF,NH0008.NHF,NH0009.NHF,NH0010.NHF,NH0011.NHF,NH0012.NHF,NH0013.NHF,NH0014.NHF,NH0015.NHF,NH0016.NHF,NH0017.NHF,NH0019.NHF,NH0020.NHF,NH0021.NHF,NH0022.NHF,NH0023.NHF,NH0024.NHF,NH0025.NHF,NH0026.NHF,NH0027.NHF,NH0028.NHF,NH0029.NHF,NH0031.NHF,NH0032.NHF,NH0033.NHF,NH0034.NHF,NH0035.NHF,NH0036.NHF,NH0037.NHF,NH0038.NHF,NH0039.NHF,NH0040.NHF,NH0041.NHF,NH0042.NHF,NH0043.NHF,NH0044.NHF,NH0045.NHF,NH0046.NHF,NH0047.NHF,NH0048.NHF,NH0049.NHF,NH0050.NHF,NH0051.NHF,NH0052.NHF,NH0053.NHF,NH0054.NHF,NH0056.NHF,NH0057.NHF,NH0058.NHF,NH0059.NHF,NH0060.NHF,NH0061.NHF,NH0071.NHF,NH0072.NHF,NH0073.NHF,NH0074.NHF,NHLR.NHF,NHNI.NHF,NHPS.NHF,NHSF.NHF,NHSM.NHF,NHSN.NHF,NHCS.NHF
2015-06-19,1262.25,956.34,1034.65,762.83,567.9285,719.53,1072.46,384.47,850.98,539.46,3411.07,578.57,691.23,1638.47,407.68,551.9,509.18,741.03,429.37,253.83,592.43,793.05,537.84,794.23,777.68,1220.09,489.07,570.47,499.92,917.94,998.25,905.5291,883.08,1066.45,736.46,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,1002.3455,,866.91,784.44,955.663,1028.5
2015-06-23,1270.55,958.45,1038.99,762.43,568.3752,728.27,1060.52,382.02,834.87,542.88,3418.41,581.76,699.03,1681.83,406.41,551.9,511.49,744.46,427.19,253.54,599.76,783.59,533.93,795.08,776.46,1245.71,487.27,563.91,499.34,926.58,998.25,927.0893,891.25,1068.2,732.38,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,1007.0071,,866.91,784.44,964.6872,1027.43
2015-06-24,1258.48,960.22,1032.91,771.99,568.5985,728.27,1055.0,386.8,821.4,547.36,3441.25,582.67,696.77,1665.0,406.77,551.9,511.03,751.79,431.56,254.26,606.41,791.15,527.6,798.51,775.84,1239.16,490.51,573.94,515.56,920.44,998.25,942.2274,891.25,1078.32,733.63,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,1021.2038,,866.91,784.44,962.8419,1026.71
2015-06-25,1257.01,958.26,1030.74,771.99,567.2585,728.2,1053.45,382.88,791.02,541.38,3419.22,580.85,673.35,1665.0,402.59,551.9,510.1,756.68,432.56,251.53,602.28,788.63,525.95,791.66,776.05,1232.6,485.11,568.92,505.13,940.22,998.25,949.1083,882.34,1076.32,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,1004.8882,,866.91,784.44,946.4855,1019.92
2015-06-26,1250.3,952.7,1025.53,786.74,569.7152,729.94,1049.47,382.51,768.57,539.46,3450.22,581.08,673.85,1685.06,401.69,551.9,510.1,752.52,430.05,252.39,600.68,793.05,520.23,792.52,770.94,1237.37,484.75,570.85,506.29,929.08,998.25,949.1083,877.88,1087.94,719.48,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,994.2937,,866.91,784.44,940.7818,1023.14
2015-06-29,1244.75,944.86,1015.55,779.96,571.5,742.75,1057.87,377.37,768.57,543.95,3481.21,579.94,671.33,1682.47,395.88,551.9,509.64,749.59,428.7,250.09,587.84,784.85,523.84,794.23,753.77,1239.75,485.11,566.22,497.02,925.21,998.25,949.1083,890.51,1077.07,713.51,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,957.3189,,858.23,784.44,933.736,1014.92
2015-06-30,1230.43,934.07,1005.57,785.54,569.05,738.82,1052.56,373.15,768.57,523.44,3445.33,574.65,644.64,1654.0,387.53,551.9,514.26,741.77,420.98,249.8,586.69,784.22,518.72,775.4,742.73,1220.69,487.63,542.31,481.96,902.7,998.25,949.1083,885.31,1076.82,698.1,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,925.2176,,859.96,784.44,901.946,1013.13
2015-07-01,1247.37,957.93,1017.72,790.33,573.9584,742.73,1051.02,373.03,749.56,527.5,3434.88,568.5,666.05,1731.65,385.53,551.9,522.13,753.5,431.05,251.53,585.55,782.33,517.37,777.97,783.7102,1280.26,491.59,545.01,479.06,915.89,998.25,1017.46,864.52,1076.07,693.07,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,936.1299,,866.22,784.44,908.0692,1021.71
2015-07-02,1238.9,949.76,1016.85,790.33,574.1818,734.12,1043.06,381.53,736.88,541.17,3453.66,576.51,670.08,1748.48,385.53,551.9,521.66,750.81,429.37,252.68,600.38,785.16,516.16,783.1,778.1836,1285.63,493.74,543.08,483.12,911.79,998.25,1017.46,877.14,1079.95,690.87,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,947.6779,,866.22,775.97,920.1477,1014.92
2015-07-03,1235.98,953.36,1018.59,789.13,574.6284,730.47,1046.59,380.16,717.07,530.71,3468.05,576.74,665.54,1770.48,384.99,535.9,521.2,751.55,429.88,253.83,594.63,779.8,521.43,782.25,796.2512,1317.8,485.11,551.57,472.69,918.16,998.25,1017.46,866.74,1073.95,694.01,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,945.4531,,866.22,775.97,922.664,1020.28
2015-07-06,1218.16,935.71,1017.72,768.01,568.0601,731.77,1045.05,370.97,692.24,514.05,3334.41,568.78,641.37,1747.18,367.93,535.9,506.4,745.19,418.96,245.2,583.16,769.08,517.67,769.41,779.459,1296.95,469.99,525.72,457.05,918.84,998.25,1017.46,884.57,1044.71,663.19,,,,,,,,,,,,,,,,,,,,,,,,,,,989.44,906.1475,,866.22,775.97,898.2554,1021.35
2015-07-07,1205.6,927.86,1010.78,743.3,565.4928,733.47,1047.48,372.69,665.31,498.89,3256.64,565.59,630.29,1753.01,355.22,535.9,490.68,739.81,415.1,243.32,581.45,742.59,517.67,753.15,778.3962,1326.14,460.28,507.98,435.62,917.94,998.25,1017.46,882.34,1020.6,641.81,,,,,,,,,,,,,,,,,,,,,,,,,,,980.11,892.2687,,878.03,775.97,898.1715,1020.99
