,OOFI.WI,NH0002.NHF,NH0003.NHF,NH0006.NHF,NH0015.NHF,NH0020.NHF,NH0021.NHF,NH0056.NHF
2017-01-03,1240.2812,1082.66,1079.74,709.42,1944.39,835.9,493.71,
2017-01-04,1233.9439,1071.75,1090.41,709.42,1957.71,831.0,488.17,
2017-01-05,1230.8446,1070.82,1085.43,719.54,1953.51,830.3,485.32,
2017-01-06,1220.1499,1059.29,1076.9,714.13,1957.01,817.48,479.94,
2017-01-09,1223.6456,1063.03,1071.92,722.83,1945.79,820.51,485.16,
2017-01-10,1231.1871,1071.44,1068.37,726.35,1947.9,826.57,489.75,
2017-01-11,1244.3782,1082.66,1071.21,721.65,1980.15,832.4,494.82,
2017-01-12,1241.4993,1079.85,1071.92,719.77,1968.93,829.37,496.08,
2017-01-13,1247.9899,1080.48,1075.48,708.01,2013.11,829.37,495.92,
2017-01-16,1262.1135,1090.45,1086.85,710.37,2039.75,842.19,500.04,
2017-01-17,1266.8031,1094.19,1083.3,712.95,2048.87,850.82,499.88,
2017-01-18,1266.0221,1093.56,1110.31,711.31,2058.68,843.12,499.41,
2017-01-19,1268.549,1092.0,1107.47,719.3,2080.42,845.22,498.93,
2017-01-20,1260.9944,1090.45,1111.73,713.42,2053.78,838.46,497.03,
2017-01-23,1257.8593,1086.08,1118.13,731.06,2057.98,837.53,494.97,
2017-01-24,1272.1012,1100.73,1108.89,737.64,2060.79,845.45,504.15,
2017-01-25,1254.1915,1087.64,1106.04,734.58,2020.82,832.4,497.82,
2017-01-26,1249.8043,1080.42,1108.87,736.73,2042.56,829.34,491.18,
2017-02-03,1237.4462,1067.7,1118.13,750.81,2025.73,822.38,484.37,
2017-02-06,1244.3323,1069.26,1137.32,755.98,2048.17,829.37,485.8,
2017-02-07,1240.9802,1066.14,1129.5,750.1,2044.66,826.11,484.53,
2017-02-08,1256.9562,1075.8,1138.74,746.11,2079.02,835.2,493.39,
2017-02-09,1252.2086,1072.38,1138.74,745.87,2078.32,832.4,489.75,
2017-02-10,1267.3018,1083.59,1140.87,745.17,2101.46,843.36,497.19,
2017-02-13,1252.0253,1069.88,1140.16,750.1,2093.04,835.43,486.27,
2017-02-14,1241.9888,1063.65,1118.84,749.4,2072.71,826.34,481.68,
2017-02-15,1240.0707,1063.96,1110.31,745.17,2059.38,823.08,483.58,
2017-02-16,1235.7512,1059.29,1117.42,736.94,2072.01,819.81,478.2,
2017-02-17,1214.2834,1042.16,1113.15,729.65,2037.65,806.06,468.23,
2017-02-20,1217.2361,1043.4,1125.24,733.17,2044.66,809.79,469.18,
2017-02-21,1217.0347,1039.04,1127.37,736.0,2072.01,806.99,466.65,
2017-02-22,1210.0481,1036.55,1135.9,728.24,2043.26,804.66,465.07,
2017-02-23,1195.5422,1025.64,1125.95,731.06,2019.42,795.34,458.1,
2017-02-24,1197.4138,1026.27,1130.92,747.75,2018.01,796.74,460.95,
2017-02-27,1196.2933,1024.71,1140.16,745.17,2026.43,793.94,459.37,
2017-02-28,1194.1745,1023.77,1139.45,750.34,2020.12,794.87,457.79,
2017-03-01,1207.4108,1036.24,1139.45,752.93,2039.75,803.03,463.33,
2017-03-02,1214.4851,1041.84,1143.01,750.81,2064.99,805.59,464.91,
2017-03-03,1212.2511,1039.35,1155.8,750.1,2056.58,803.96,466.49,
2017-03-06,1217.274,1041.53,1171.44,772.68,2076.91,802.1,469.5,
2017-03-07,1203.321,1025.95,1168.6,767.5,2069.2,787.88,464.91,
2017-03-08,1190.8607,1018.48,1155.8,739.76,2035.54,777.86,460.64,
2017-03-09,1190.5995,1018.17,1143.72,732.0,2032.04,767.83,465.38,
2017-03-10,1157.4181,999.16,1128.08,727.3,2005.39,749.42,455.57,
2017-03-13,1164.8957,1002.59,1132.01,728.94,2015.21,765.73,459.69,
2017-03-14,1151.791,989.81,1113.72,717.42,1994.17,762.94,453.92,
2017-03-15,1154.8403,988.88,1122.12,715.77,2013.11,759.21,458.56,
2017-03-16,1163.6983,987.63,1119.82,721.18,2008.2,752.21,465.21,
2017-03-17,1168.02,992.93,1121.17,715.54,1999.08,755.23,466.71,
2017-03-20,1174.3579,996.36,1137.39,713.89,2025.97,754.47,469.2,
2017-03-21,1169.5226,993.86,1139.42,707.78,2002.47,755.53,467.87,
2017-03-22,1177.6514,989.81,1155.64,703.55,2001.35,755.3,469.53,
2017-03-23,1159.2128,976.78,1144.15,720.48,1969.15,742.15,460.72,
2017-03-24,1153.3744,970.41,1152.26,718.12,1959.4,737.92,458.72,
2017-03-27,1134.0673,946.41,1151.58,706.13,1955.22,725.66,449.74,
2017-03-28,1133.5576,944.88,1159.69,706.84,1951.04,726.55,450.41,
2017-03-29,1136.8534,945.79,1130.63,705.43,1961.49,726.77,452.57,
2017-03-30,1121.9866,932.99,1128.61,693.43,1939.9,718.08,444.92,
2017-03-31,1111.5559,919.58,1129.96,697.9,1936.42,705.15,443.09,
2017-04-05,1113.4823,920.49,1136.71,701.19,1919.0,709.39,448.74,
2017-04-06,1112.9373,919.58,1142.8,697.88,1918.31,706.05,450.41,
2017-04-07,1099.5862,906.17,1127.93,703.91,1900.89,698.02,444.92,
2017-04-10,1101.9549,909.52,1131.98,712.79,1923.88,705.38,434.61,
2017-04-11,1105.5343,915.01,1103.6,710.51,1923.88,708.72,435.27,
2017-04-12,1094.4517,898.85,1098.87,713.47,1938.51,691.78,430.12,
2017-04-13,1109.032,907.69,1105.63,719.6,1975.42,699.58,436.27,
2017-04-14,1117.6601,905.86,1107.66,715.51,1971.24,702.7,433.77,
2017-04-17,1118.1921,907.08,1107.66,711.42,1967.76,706.49,434.77,
2017-04-18,1110.3538,899.46,1100.22,721.42,1958.71,703.59,430.45,
2017-04-19,1110.1752,883.0,1092.11,724.83,1989.35,693.34,426.29,
2017-04-20,1111.3535,886.35,1098.87,728.24,1981.0,698.25,427.95,
2017-04-21,1109.719,886.96,1114.41,732.55,1969.85,699.36,429.45,
2017-04-24,1119.6552,895.19,1109.68,727.1,1990.05,707.61,431.61,
2017-04-25,1111.029,886.05,1101.57,718.46,1985.87,702.7,421.63,
2017-04-26,1103.9282,888.49,1104.95,730.28,1954.53,699.81,424.96,
2017-04-27,1105.5591,890.93,1096.84,732.78,1944.77,706.71,430.12,
2017-04-28,1105.2139,886.96,1096.17,721.42,1949.65,703.37,430.61,
2017-05-02,1128.8342,898.24,1114.41,725.51,2005.37,716.74,436.27,
2017-05-03,1125.8884,897.02,1106.3,732.55,1992.84,716.97,435.27,
2017-05-04,1124.7095,891.23,1108.33,734.14,1998.41,716.07,432.94,
2017-05-05,1116.5498,885.44,1108.33,718.69,1978.91,707.61,432.44,
2017-05-08,1123.899,898.85,1109.68,704.38,1962.88,718.97,445.25,
2017-05-09,1124.351,902.81,1100.22,705.06,1962.19,716.97,446.58,
2017-05-10,1125.7278,900.37,1098.87,705.06,1976.82,711.17,445.25,
