,CIFI.WI,NH0004.NHF,NH0011.NHF,NH0014.NHF,NH0024.NHF,NH0031.NHF,NH0037.NHF,NH0042.NHF,NH0043.NHF,NH0045.NHF,NH0049.NHF,NH0051.NHF,NH0054.NHF,NH0059.NHF,NH0071.NHF,NH0072.NHF
2017-01-03,655.29,1029.03,531.93,756.13,819.37,378.46,1481.15,,,,,,,,,
2017-01-04,657.16,1027.44,526.07,763.13,820.29,379.32,1474.75,,,,,,,,,
2017-01-05,647.26,1027.97,521.77,744.39,817.53,378.17,1478.21,,,,,,,,,
2017-01-06,640.85,1009.42,522.75,735.33,812.92,382.75,1458.51,,,,,,,,,
2017-01-09,668.2,1038.03,525.09,781.25,834.42,387.61,1494.29,,,,,,,,,
2017-01-10,673.07,1044.92,520.99,793.6,833.5,381.03,1484.78,,,,,,,,,
2017-01-11,680.06,1040.15,527.24,805.34,826.44,382.17,1484.78,,,,,,,,,
2017-01-12,697.44,1041.21,532.12,835.82,842.1,386.17,1511.05,,,,,,,,,
2017-01-13,701.99,1070.89,532.91,837.26,847.63,392.17,1535.08,,,,,,,,,
2017-01-16,730.52,1088.37,532.91,886.06,881.74,392.46,1590.04,,,,,,,,,
2017-01-17,721.47,1073.54,530.95,875.15,869.75,381.88,1559.62,,,,,,,,,
2017-01-18,723.3,1083.07,529.0,877.0,871.91,382.46,1570.86,,,,,,,,,
2017-01-19,718.88,1074.6,532.52,871.23,858.08,378.45,1546.31,,,,,,,,,
2017-01-20,690.46,1087.84,527.44,812.75,861.15,367.31,1560.49,,,,,,,,,
2017-01-23,698.28,1094.2,544.24,817.28,874.98,370.16,1588.49,,,,,,,,,
2017-01-24,705.23,1084.13,543.85,833.55,877.13,376.45,1577.77,,,,,,,,,
2017-01-25,711.01,1102.68,553.03,832.73,901.71,377.6,1627.9,,,,,,,,,
2017-01-26,734.54,1087.27,552.41,884.41,899.86,385.03,1610.98,,,,,,,,,
2017-02-03,707.63,1085.19,552.05,830.87,895.56,388.74,1599.21,,,,,,,,,
2017-02-06,710.47,1101.09,564.94,826.96,899.86,391.89,1615.97,,,,,,,,,
2017-02-07,720.32,1092.61,561.23,851.67,904.16,388.17,1600.93,,,,,,,,,
2017-02-08,720.82,1083.6,563.38,853.52,903.24,394.18,1591.77,,,,,,,,,
2017-02-09,716.41,1083.07,556.93,847.76,897.1,390.75,1591.43,,,,,,,,,
2017-02-10,726.03,1086.25,561.04,863.61,904.47,401.32,1595.4,,,,,,,,,
2017-02-13,755.72,1123.87,571.0,906.24,935.5,419.9,1650.37,,,,,,,,,
2017-02-14,756.53,1122.28,571.98,906.65,954.24,419.62,1655.04,,,,,,,,,
2017-02-15,735.83,1061.35,557.52,887.5,942.87,403.89,1591.95,,,,,,,,,
2017-02-16,707.02,1050.22,553.03,836.84,933.96,401.04,1552.19,,,,,,,,,
2017-02-17,707.76,1047.57,554.2,839.32,936.12,400.75,1541.99,,,,,,,,,
2017-02-20,707.48,1051.81,555.76,836.02,938.88,412.18,1544.76,,,,,,,,,
2017-02-21,699.79,1041.74,552.83,827.37,910.31,406.18,1517.27,,,,,,,,,
2017-02-22,699.0,1043.86,551.46,825.31,909.39,414.47,1516.41,,,,,,,,,
2017-02-23,665.94,1022.14,540.72,769.72,885.73,400.75,1493.42,,,,,,,,,
2017-02-24,670.36,1025.32,546.19,774.25,901.09,411.61,1496.19,,,,,,,,,
2017-02-27,671.16,1025.32,547.56,773.63,914.3,418.76,1501.55,,,,,,,,,
2017-02-28,662.49,1019.49,543.85,761.48,893.72,412.47,1483.05,,,,,,,,,
2017-03-01,667.44,1015.78,543.85,771.98,884.19,420.19,1480.28,,,,,,,,,
2017-03-02,669.59,1020.02,543.06,776.51,877.74,412.76,1484.95,,,,,,,,,
2017-03-03,674.37,1023.73,540.33,786.6,878.66,409.32,1490.31,,,,,,,,,
2017-03-06,668.3,1030.09,543.85,770.54,869.14,406.18,1508.11,,,,,,,,,
2017-03-07,665.59,1023.2,544.24,767.04,875.28,407.61,1493.77,,,,,,,,,
2017-03-08,638.88,986.11,527.24,732.24,852.86,398.46,1437.42,,,,,,,,,
2017-03-09,629.12,981.34,509.27,722.97,837.8,383.03,1430.5,,,,,,,,,
2017-03-10,625.88,965.97,497.74,726.47,839.03,378.74,1403.54,,,,,,,,,
2017-03-13,631.64,976.04,497.74,733.89,829.82,387.89,1425.15,,,,,,,,,
2017-03-14,623.14,974.45,495.2,721.33,817.83,375.6,1407.0,,,,,,,,,
2017-03-15,629.28,980.28,496.18,729.56,835.65,382.74,1423.94,,,,,,,,,
2017-03-16,633.84,995.11,498.72,733.89,823.06,385.03,1442.95,,,,,,,,,
2017-03-17,642.29,996.7,499.11,750.77,821.83,384.17,1444.16,,,,,,,,,
2017-03-20,634.26,1000.94,496.38,736.36,808.92,385.03,1433.27,,,,,,,,,
2017-03-21,626.02,996.17,495.59,721.12,789.88,389.32,1429.29,,,,,,,,,
2017-03-22,602.55,979.75,492.66,682.0,777.28,370.16,1400.6,,,,,,,,,
2017-03-23,605.05,990.34,496.96,682.82,776.05,368.45,1412.35,,,,,,,,,
2017-03-24,600.12,981.34,490.71,676.85,782.5,368.74,1407.34,,,,,,,,,
2017-03-27,589.99,974.45,485.44,644.11,762.23,360.45,1366.55,,,,,,,,,
2017-03-28,591.92,969.15,484.26,647.26,772.67,369.88,1370.35,,,,,,,,,
2017-03-29,604.79,986.11,488.56,662.09,784.04,373.88,1423.76,,,,,,,,,
2017-03-30,595.62,972.86,484.07,650.27,784.65,373.88,1404.23,,,,,,,,,
2017-03-31,594.14,968.62,477.43,651.18,791.11,374.45,1390.92,,,,,,,,,
2017-04-05,614.83,1004.12,487.0,676.5,813.84,397.03,1436.55,,,,,,,,,
2017-04-06,612.9,1011.36,490.38,670.32,817.1,397.32,1439.56,,,,,,,,,
2017-04-07,587.38,1003.8,486.11,624.87,816.01,392.17,1427.2,,,,,,,,,
2017-04-10,583.7,979.91,488.17,618.69,799.39,390.75,1387.71,,,,,,,,,
2017-04-11,579.76,983.43,485.27,614.31,783.23,364.73,1384.39,,,,,,,,,
2017-04-12,563.23,974.3,479.78,588.8,780.38,364.16,1372.1,,,,,,,,,
2017-04-13,567.7,970.54,480.35,597.37,781.02,363.02,1373.83,,,,,,,,,
2017-04-14,571.03,949.07,479.97,591.19,756.02,351.3,1339.9,,,,,,,,,
2017-04-17,574.48,945.31,486.79,594.18,756.65,357.59,1327.95,,,,,,,,,
2017-04-18,570.19,946.92,486.79,582.42,751.9,353.3,1330.89,,,,,,,,,
2017-04-19,565.38,943.17,479.59,573.45,760.13,358.73,1327.6,,,,,,,,,
2017-04-20,571.59,948.0,476.94,589.99,758.23,356.73,1338.16,,,,,,,,,
2017-04-21,568.41,938.87,474.48,590.19,753.8,353.3,1323.1,,,,,,,,,
2017-04-24,567.01,927.6,473.15,590.59,747.47,352.73,1309.77,,,,,,,,,
2017-04-25,563.72,921.16,468.41,584.81,742.41,358.45,1307.69,,,,,,,,,
2017-04-26,561.57,927.06,467.28,578.43,750.0,356.16,1327.6,,,,,,,,,
2017-04-27,566.5,931.89,468.79,582.42,757.91,360.19,1347.17,,,,,,,,,
2017-04-28,570.94,953.37,467.66,588.4,758.23,365.77,1358.94,,,,,,,,,
2017-05-02,579.61,953.37,472.01,607.73,759.18,366.31,1356.17,,,,,,,,,
2017-05-03,576.99,949.07,472.01,601.75,753.17,366.14,1349.42,,,,,,,,,
2017-05-04,556.58,939.95,463.11,561.29,720.57,352.24,1314.44,,,,,,,,,
2017-05-05,543.3,934.58,453.45,542.15,706.02,336.11,1302.15,,,,,,,,,
2017-05-08,545.96,937.8,456.29,540.76,711.4,341.4,1310.64,,,,,,,,,
2017-05-09,546.85,938.34,456.48,543.35,711.71,343.06,1309.77,,,,,,,,,
2017-05-10,539.32,928.14,453.45,530.39,704.75,341.4,1289.17,,,,,,,,,
2017-05-11,548.98,944.24,457.05,547.14,710.45,345.57,1301.98,,,,,,,,,
2017-05-12,544.55,945.85,456.29,539.76,698.42,341.67,1296.44,,,,,,,,,
2017-05-15,555.81,972.69,462.73,546.74,713.61,350.01,1335.57,,,,,,,,,
2017-05-16,561.74,982.35,466.14,555.11,723.74,355.02,1349.25,,,,,,,,,
2017-05-17,560.95,978.6,465.76,549.53,731.65,353.35,1344.4,,,,,,,,,
2017-05-18,557.46,988.26,464.82,537.77,720.89,354.46,1356.86,,,,,,,,,
2017-05-19,569.39,1003.83,470.12,549.13,760.13,360.86,1401.53,,,,,,,,,
2017-05-22,569.69,997.92,473.53,552.12,759.18,361.41,1401.01,,,,,,,,,
2017-05-23,569.4,995.77,472.01,556.51,753.17,350.01,1398.94,,,,,,,,,
2017-05-24,563.17,988.26,470.12,546.14,746.84,349.74,1387.33,,,,,,,,,
2017-05-25,566.6,986.65,467.47,548.13,765.51,357.24,1399.63,,,,,,,,,
2017-05-26,555.9,980.21,455.91,536.77,750.95,343.9,1389.59,,,,,,,,,
2017-05-31,534.26,966.25,454.78,498.7,707.91,325.55,1358.77,,,,,,,,,
2017-06-01,536.07,989.87,449.28,497.51,719.31,327.22,1368.29,,,,,,,,,
2017-06-02,528.19,958.73,447.77,494.52,702.85,321.66,1328.64,,,,,,,,,
2017-06-05,532.24,955.51,451.75,499.5,712.98,326.11,1326.39,,,,,,,,,
2017-06-06,535.17,954.98,455.34,496.51,727.53,329.72,1328.99,,,,,,,,,
2017-06-07,537.29,951.22,458.94,500.3,731.96,328.61,1332.28,,,,,,,,,
2017-06-08,536.84,957.12,457.43,494.52,739.56,326.66,1338.34,,,,,,,,,
2017-06-09,536.39,958.73,457.24,497.31,737.03,324.16,1336.61,,,,,,,,,
2017-06-12,542.99,980.74,457.24,505.28,738.93,325.27,1372.45,,,,,,,,,
2017-06-13,532.28,958.73,460.27,491.33,726.27,322.21,1331.07,,,,,,,,,
2017-06-14,542.92,958.2,461.97,514.25,740.83,323.33,1336.61,,,,,,,,,
