,NFFI.WI,NH0009.NHF,NH0012.NHF,NH0013.NHF,NH0058.NHF,NH0060.NHF,NH0061.NHF,NHNI.NHF,NHSN.NHF
2017-01-03,1274.0,499.0,3761.0,629.0,,,,848.0,1184.0
2017-01-04,1267.0,502.0,3741.0,631.0,,,,839.0,1187.0
2017-01-05,1272.0,506.0,3761.0,627.0,,,,840.0,1220.0
2017-01-06,1263.0,503.0,3727.0,624.0,,,,836.0,1204.0
2017-01-09,1280.0,516.0,3758.0,627.0,,,,851.0,1207.0
2017-01-10,1296.0,535.0,3789.0,641.0,,,,859.0,1219.0
2017-01-11,1312.0,533.0,3876.0,649.0,,,,865.0,1206.0
2017-01-12,1298.0,532.0,3861.0,661.0,,,,846.0,1178.0
2017-01-13,1302.0,531.0,3895.0,667.0,,,,843.0,1175.0
2017-01-16,1316.0,540.0,3941.0,667.0,,,,852.0,1184.0
2017-01-17,1290.0,523.0,3844.0,663.0,,,,840.0,1157.0
2017-01-18,1289.0,531.0,3830.0,664.0,,,,839.0,1163.0
2017-01-19,1289.0,529.0,3840.0,665.0,,,,837.0,1167.0
2017-01-20,1261.0,525.0,3787.0,664.0,,,,806.0,1135.0
2017-01-23,1282.0,541.0,3850.0,682.0,,,,816.0,1141.0
2017-01-24,1282.0,539.0,3868.0,684.0,,,,813.0,1146.0
2017-01-25,1287.0,541.0,3916.0,700.0,,,,805.0,1167.0
2017-01-26,1299.0,550.0,3948.0,689.0,,,,814.0,1174.0
2017-02-03,1292.0,537.0,3844.0,685.0,,,,835.0,1151.0
2017-02-06,1296.0,531.0,3830.0,679.0,,,,849.0,1146.0
2017-02-07,1300.0,538.0,3851.0,678.0,,,,849.0,1139.0
2017-02-08,1316.0,544.0,3918.0,682.0,,,,856.0,1134.0
2017-02-09,1313.0,545.0,3900.0,684.0,,,,853.0,1148.0
2017-02-10,1321.0,557.0,3918.0,685.0,,,,855.0,1150.0
2017-02-13,1368.0,569.0,4107.0,695.0,,,,878.0,1184.0
2017-02-14,1376.0,566.0,4106.0,714.0,,,,890.0,1187.0
2017-02-15,1354.0,560.0,3994.0,711.0,,,,885.0,1170.0
2017-02-16,1355.0,553.0,3989.0,712.0,,,,891.0,1170.0
2017-02-17,1351.0,552.0,3963.0,697.0,,,,894.0,1155.0
2017-02-20,1361.0,545.0,3996.0,701.0,,,,904.0,1165.0
2017-02-21,1364.0,555.0,4009.0,705.0,,,,902.0,1174.0
2017-02-22,1348.0,549.0,3987.0,691.0,,,,885.0,1167.0
2017-02-23,1335.0,545.0,3965.0,686.0,,,,873.0,1144.0
2017-02-24,1330.0,543.0,3914.0,680.0,,,,878.0,1146.0
2017-02-27,1339.0,540.0,3911.0,682.0,,,,894.0,1158.0
2017-02-28,1339.0,542.0,3912.0,682.0,,,,894.0,1148.0
2017-03-01,1357.0,552.0,3986.0,703.0,,,,898.0,1150.0
2017-03-02,1358.0,551.0,3990.0,701.0,,,,898.0,1163.0
2017-03-03,1348.0,542.0,3956.0,701.0,,,,895.0,1149.0
2017-03-06,1339.0,528.0,3925.0,681.0,,,,897.0,1143.0
2017-03-07,1337.0,526.0,3911.0,682.0,,,,898.0,1137.0
2017-03-08,1311.0,521.0,3860.0,680.0,,,,868.0,1125.0
2017-03-09,1277.0,511.0,3800.0,673.0,,,,829.0,1110.0
2017-03-10,1279.0,520.0,3806.0,686.0,,,,825.0,1125.0
2017-03-13,1296.0,534.0,3881.0,683.0,,,,829.0,1143.0
2017-03-14,1292.0,534.0,3864.0,672.0,,,,828.0,1135.0
