,JJRI.WI,NH0016.NHF,NH0019.NHF,NH0026.NHF,NH0029.NHF,NH0032.NHF,NH0038.NHF,NH0050.NHF,NHSF.NHF,NHSM.NHF
2017-01-03,529.6629,498.01,632.29,1144.4,986.23,984.91,1094.38,,889.72,1205.4365
2017-01-04,541.8519,511.81,643.84,1148.2,997.62,999.66,1118.27,,889.72,1200.6281
2017-01-05,546.2591,513.74,642.79,1151.05,1004.63,1015.34,1114.29,,896.65,1193.9703
2017-01-06,541.5242,508.67,643.84,1146.3,1017.77,993.21,1086.08,,868.93,1176.2161
2017-01-09,565.7576,532.43,669.55,1167.21,1050.63,1054.07,1144.48,,838.45,1169.1884
2017-01-10,590.4275,553.21,670.6,1213.79,1111.1,1095.57,1181.98,,865.82,1176.2161
2017-01-11,587.6142,555.83,672.7,1206.18,1093.13,1108.48,1184.3,,865.82,1191.751
2017-01-12,596.0507,560.2,674.8,1196.68,1090.94,1120.47,1191.94,,873.44,1239.4654
2017-01-13,592.2998,557.93,678.99,1211.89,1107.15,1119.55,1183.31,,869.63,1223.1908
2017-01-16,631.0838,589.55,687.39,1248.96,1161.48,1204.39,1234.74,,882.45,1257.5895
2017-01-17,604.3669,573.65,674.8,1230.9,1070.35,1176.72,1204.21,,849.19,1214.6835
2017-01-18,606.2137,575.05,680.04,1232.8,1072.54,1176.72,1201.89,,849.88,1231.698
2017-01-19,601.8762,568.76,691.06,1236.6,1081.3,1174.88,1178.33,,850.92,1217.6426
2017-01-20,585.4397,557.93,686.34,1236.6,1033.11,1129.69,1145.48,,852.65,1210.6149
2017-01-23,579.1011,555.48,684.24,1219.49,1034.42,1120.47,1148.8,,852.65,1193.6004
2017-01-24,604.3862,575.05,681.09,1243.25,1063.78,1196.09,1189.61,,859.23,1205.8064
2017-01-25,602.2704,576.27,688.44,1253.71,1051.51,1183.18,1194.59,,849.19,1196.5594
2017-01-26,619.0551,588.5,690.02,1257.56,1104.1,1217.25,1214.5,,858.54,1183.2438
2017-02-03,573.8023,543.78,713.63,1224.24,1026.98,1127.85,1122.25,,864.08,1168.8185
2017-02-06,566.0574,538.37,714.68,1224.24,1011.64,1112.17,1123.25,,869.28,1179.9149
2017-02-07,580.4893,552.86,718.35,1228.04,1019.97,1152.75,1151.12,,866.16,1187.3125
2017-02-08,591.5239,566.49,712.58,1250.86,1029.6,1182.26,1172.36,,869.97,1200.998
2017-02-09,583.3022,560.03,714.68,1239.45,991.92,1182.26,1157.76,,871.01,1196.1896
2017-02-10,606.5503,581.34,721.5,1307.89,1014.71,1268.94,1201.23,,869.97,1202.1076
2017-02-13,628.2681,600.38,726.22,1316.44,1055.45,1314.13,1237.73,,895.27,1224.3004
2017-02-14,630.2926,601.25,728.32,1317.39,1072.98,1313.21,1237.06,,894.92,1189.9016
2017-02-15,620.6212,592.34,708.38,1297.43,1063.78,1286.46,1220.14,,890.07,1128.1318
2017-02-16,617.8872,590.6,708.9,1297.43,1071.66,1264.33,1212.18,,887.64,1111.8571
2017-02-17,633.2645,606.67,701.03,1306.94,1082.62,1294.76,1241.38,,891.45,1113.3366
2017-02-20,644.5683,619.42,704.18,1315.49,1121.61,1316.9,1248.35,,896.31,1123.6932
2017-02-21,647.5182,624.48,683.72,1297.43,1111.1,1350.1,1254.32,,899.42,1106.6788
2017-02-22,634.0303,615.75,681.62,1291.73,1072.1,1332.57,1220.8,,897.0,1094.8426
2017-02-23,628.4702,608.41,667.45,1273.67,1068.16,1305.83,1197.24,,907.68,1087.4451
2017-02-24,631.9707,611.03,676.9,1277.47,1101.9,1288.31,1191.6,,908.95,1076.7186
2017-02-27,648.4322,630.95,683.19,1284.12,1109.34,1316.9,1237.06,,912.34,1079.6776
2017-02-28,627.7732,606.32,672.17,1254.66,1094.89,1273.55,1177.67,,907.16,1079.3077
2017-03-01,603.4345,618.72,675.85,1258.46,1162.8,1287.39,1192.6,,902.07,1070.8005
2017-03-02,603.1843,620.64,678.47,1260.36,1155.35,1280.93,1187.62,,906.82,1079.3077
2017-03-03,603.2715,622.91,692.11,1247.05,1148.34,1268.94,1185.63,,930.88,1091.8836
2017-03-06,589.305,605.62,699.98,1254.66,1147.46,1219.14,1150.46,,943.08,1118.8848
2017-03-07,592.4771,610.33,700.51,1255.61,1142.2,1220.07,1154.11,,960.36,1124.8029
2017-03-08,584.4352,598.28,672.7,1191.93,1133.88,1220.07,1135.86,,961.71,1120.3643
2017-03-09,581.216,591.99,681.09,1166.26,1143.08,1213.61,1118.93,,952.56,1170.298
2017-03-10,580.2485,594.26,672.17,1162.46,1115.92,1209.92,1135.86,,946.46,1171.4077
2017-03-13,609.9411,629.55,675.85,1185.27,1154.91,1262.49,1184.63,,945.79,1185.4631
2017-03-14,609.7339,627.8,688.44,1178.62,1150.53,1266.18,1174.02,,947.14,1231.3281
2017-03-15,618.5919,636.01,688.96,1193.83,1143.08,1336.26,1193.26,,948.5,1298.2762
2017-03-16,617.6647,633.22,699.98,1187.17,1137.38,1339.95,1187.29,,938.43,1283.4811
2017-03-17,609.9385,624.48,698.41,1179.57,1117.67,1319.66,1175.34,,976.0,1334.8943
2017-03-20,613.8192,625.53,689.49,1171.01,1145.27,1312.29,1172.36,,993.34,1343.4015
2017-03-21,599.5919,607.19,673.22,1174.82,1140.45,1268.02,1145.81,,979.23,1273.4943
2017-03-22,586.2722,594.79,665.88,1137.75,1114.6,1227.44,1114.29,,963.62,1260.5486
2017-03-23,582.5361,596.88,664.83,1142.5,1144.83,1239.43,1110.3,,971.25,1248.7124
2017-03-24,556.9975,596.36,657.48,1152.96,1131.25,1233.53,1112.63,,966.04,1256.4799
2017-03-27,540.0148,578.53,647.51,1142.5,1081.3,1176.71,1071.48,,951.48,1284.5907
2017-03-28,539.3661,576.85,650.66,1195.73,1076.48,1154.76,1067.5,,946.97,1331.1955
2017-03-29,558.1519,595.6,655.91,1212.84,1118.98,1210.38,1097.36,,953.56,1331.1955
2017-03-30,553.6853,591.75,645.94,1219.49,1122.49,1184.95,1094.0,,940.03,1310.4823
2017-03-31,552.6296,593.64,641.74,1242.3,1113.72,1170.11,1089.84,,932.05,1283.4811
